vid_id,chunk_id,text
5Kk_BC94qfQ,0,
5Kk_BC94qfQ,1,to
5Kk_BC94qfQ,2,
5Kk_BC94qfQ,3,"Can I have a hook knife, please?
 I hope to show you a mucosal incision
 and find some mucosal tumor directly.
 Needling?
 The condition of some mucosal"
5Kk_BC94qfQ,4,"さらに、サブムークサルレイヤーの状態は、3時に出てきません。
これは腺なので、ゆっくりと、ゆっくりと、"
5Kk_BC94qfQ,5,左側はトゥモア、右側はマッスルレイヤー、イン。
5Kk_BC94qfQ,6,호레슨
Vzn77Lnibqs,0,"particular and at the end there will be a full length video so that you can see
 exactly what I see when I do the procedure. Let's get started.
 I'm going to show the anatomy so that you understand what we're doing when we do an
 upper GI tract endoscopy. Essentially we look at the upper airway, the esophagus, the stomach,
 and the first part of the duodenum. The endoscopy is often called by other names such as a gastroscopy
 although that's less specific because gastro indicates stomach and we're scoping more than
 just the stomach. In England it's often called an OGD. The O is for esophagus with the English
 spelling, G for gastro, and D for duodenum so esophagogastroduodenoscopy which is quite a
 mouthful. The procedure itself is very similar to the endoscopy. The endoscopy itself is very
 similar to the endoscopy itself. One needs to prepare for nothing to eat in terms of solid food
 for eight hours prior to the procedure. You can have clear fluids up to two to three hours before
 the procedure. Majority of my patients have it done with some sedation but it can be done with
 just simply local spray to the upper airway. Approximately 30 to 50 percent of my patients
 have it done that way. Next I want to show the anatomy. I'm going to rotate the mannequin here
 because we start at the teeth and the lips. The scope is advanced over the top of the tongue. This
 is the tongue here and it's angled downwards to go to the back of the throat. Now the esophagus
 is a posterior structure meaning it's towards the back and this is the entrance way where my finger
 is to go in there. You will see there's a yellow structure here a little flap that's called the
 epiglottis. This is the epiglottis. This is the epiglottis. This is the epiglottis. This is the
 epiglottis. That epiglottis or flap will fold down and cover the vocal cords which is just below it
 so that when you swallow food the food doesn't go down the wrong way. The food will be guided
 into the esophagus."
Vzn77Lnibqs,1,"and cover the vocal cords which is just below it so that when you swallow food
 the food doesn't go down the wrong way. The food will be guided into the
 esophagus. Now I want to show you where the esophagus is once we pass this
 section and to do that I have to get rid of some of the organs and the reason is
 is it's a posterior structure so I'm going to remove the lungs and then I'm
 going to remove the heart. Now you can see posteriorly this brown structure it
 looks like a tube and it's the esophagus. It starts at about 20 centimeters from
 the lips and it goes all the way down to the bottom part where it joins the
 stomach right here at 40 centimeters again a distance from the lips. The
 esophagus is circular and it's like a tube and it
 treats the esophagus like a tube and it treats the esophagus like a tube and it
 treats the esophagus like a tube and it treats the esophagus like a tube and it
 transports the food down. You will see on the video that I'm about to show some
 peristaltic waves which are waves of contraction. This is a muscular organ
 that contracts to squeeze to push the food down into the stomach. Now at the end
 of the esophagus in this light blue color going from one edge of the body all
 the way to the center and then again across here is the diaphragm. It's a big
 muscular structure and it will
 have a hole in it that the esophagus right here goes through and that's
 called the diaphragmatic hiatus. Now I'm going to remove the liver. The liver is
 in brown here so that you can see the stomach. This is the stomach. I'm going to
 remove it here for a minute so you can see it. The junction between the stomach
 and esophagus is right here at the diaphragm and you will see on the video
 that the lining looks different and that's because they're different cells
 that line the stomach compared to the esophagus.
 The stomach is an organ which secretes acid to help digest and break
 down the food into smaller components so that it can leave the stomach through
 the end of the stomach which is called where there's an opening called the
 pylorus and the food will then go down there into this section which is the
 small intestine. The first bit of the small intestine has a special name it's
 called the duodenum. Now you'll notice that the stomach has a particular
 shape to it. Part of the stomach sits up high here. This part is called the fundus
 and it's hard to see that part with the scope. The scope has a camera on the end
 that looks forward so when you're looking forward and the scope is here
 you're not going to see this section and so when we do the scope when you see the
 video you will see that I perform a maneuver which we call retroflexing the
 scope where we bend it on itself and basically get turn it into a jade
 so the scope comes down and then it twists like a big hook and looks back
 upon itself so that we can see this section in here because this is poorly
 seen if we just put the scope down forward viewing. Now the small intestine
 here this is the beginning and it turns to go down further into the abdomen and
 this is the entire small intestine here which ultimately joins with the large
 intestine which is in blue.
 The small intestine is this pinkish color and the large
 intestine which is also known as a colon is actually in blue and the colon starts
 here and there'll be a separate video on my colonoscopy that will go over the
 anatomy and there will be nice video on a colonoscopy so you can see what that's
 like if you're having one done. But the colon there's a section called the
 ascending colon. This section is called the transverse colon because it goes
 across the colon.
 the abdomen in a transverse fashion and then down into the descending colon here
 and the descending colon ultimately turns into the sigmoid colon then the
 rectum and then the bowel contents come out through the anus"
Vzn77Lnibqs,2,"colon ultimately turns into the sigmoid colon then the rectum and then the bowel contents come out
 through the anus. I am now going to show you what an upper GI tract endoscopy looks like from my
 perspective. We're starting in the mouth here the white arrow points towards the tongue and the"
Vzn77Lnibqs,3,"going to show you what an upper GI tract endoscopy looks like from my perspective.
 We're starting in the mouth here the white arrow points towards the tongue
 and the black arrow is showing the route down into the throat area. As you can see
 I'm angling down and the black arrows now pointing to the
 uvula that's the part that hangs down that you can see when you open your mouth"
Vzn77Lnibqs,4,"area. As you can see I'm angling down and the black arrow is now pointing to the
 uvula that's the part that hangs down that you can see when you open your
 mouth and the white arrow shows the epiglottis. Looking further down the vocal
 cords are pointed out by the white arrow and the route down into the esophagus is
 pointed by the black arrow. There's some secretions or bubbles that you can see
 which are white in this"
Vzn77Lnibqs,5,"by the white arrow and the route down into the esophagus
 is pointed by the black arrow.
 There's some secretions or bubbles that you can see
 which are white in this picture.
 Now I'm gonna slide along the posterior wall
 of the posterior part of the pharynx
 and pop through the upper esophageal sphincter there
 which you can see contracting.
 I'm now advancing the scope down into"
Vzn77Lnibqs,6,"of the posterior part of the pharynx and popped through the upper esophageal sphincter there
 which you can see contracting i'm now advancing the scope down into the esophagus the esophagus
 is two centimeters in diameter to give you a size comparison you will see waves of contraction
 i'm now down in the lower esophagus and you will see the junction between the esophagus and the
 stomach the white arrows pointing to that junction the black arrows pointing towards the hole that
 will take us into the stomach the folds of the stomach you can see just above the black arrow
 we often call this the gastroesophageal junction you'll see the difference in lining between the
 esophageal lining and the stomach lining the esophageal lining being a pink gray mucosa"
Vzn77Lnibqs,7,"in lining between the esophageal lining and the stomach lining the esophageal
 lining being a pink gray mucosa now going down into the stomach I'm putting
 air in at this point or co2 as we use now
 I'm making a turn to the right there's some liquid in the bottom"
Vzn77Lnibqs,8,"Now going down into the stomach. I'm putting air in at this point or co2 as we use now
 I'm making a turn to the right. There's some liquid in the bottom of the stomach there as you can see, which is the green
 Greeny yellow liquid. There's a number of bubbles here and I'm wiping my screen here. You'll"
Vzn77Lnibqs,9,"of the stomach there as you can see which is the
 green, greeny yellow
 liquid. There's a number
 of bubbles here and I'm
 wiping my screen here. You'll see
 flashes of water coming across the screen.
 That's the end of the stomach there. That
 little hole is called the pylorus which
 is a muscular opening
 which when it opens will let the"
